Baseline,SDG Push,JET SDG,Year,indicator
0.0005,0.0005,0.0005,2019,CarbonEmissions
0.0006,0.0006,0.0006,2020,CarbonEmissions
0.0006,0.0006,0.0006,2021,CarbonEmissions
0.0006,0.0006,0.0006,2022,CarbonEmissions
0.0006,0.0006,0.0006,2023,CarbonEmissions
0.0007,0.0007,0.0007,2024,CarbonEmissions
0.0007,0.0007,0.0007,2025,CarbonEmissions
0.0007,0.0007,0.0007,2026,CarbonEmissions
0.0007,0.0007,0.0008,2027,CarbonEmissions
0.0008,0.0008,0.0008,2028,CarbonEmissions
0.0008,0.0008,0.0008,2029,CarbonEmissions
0.0008,0.0008,0.0007,2030,CarbonEmissions
0.0008,0.0008,0.0007,2031,CarbonEmissions
0.0009,0.0009,0.0007,2032,CarbonEmissions
0.0009,0.0009,0.0007,2033,CarbonEmissions
0.0009,0.0009,0.0007,2034,CarbonEmissions
0.0009,0.0009,0.0007,2035,CarbonEmissions
0.0009,0.0009,0.0007,2036,CarbonEmissions
0.0009,0.0009,0.0007,2037,CarbonEmissions
0.0009,0.001,0.0007,2038,CarbonEmissions
0.0009,0.001,0.0007,2039,CarbonEmissions
0.0009,0.001,0.0007,2040,CarbonEmissions
0.0009,0.001,0.0006,2041,CarbonEmissions
0.001,0.001,0.0006,2042,CarbonEmissions
0.001,0.001,0.0006,2043,CarbonEmissions
0.0009,0.001,0.0005,2044,CarbonEmissions
0.0009,0.001,0.0005,2045,CarbonEmissions
0.0009,0.001,0.0005,2046,CarbonEmissions
0.0009,0.0009,0.0005,2047,CarbonEmissions
0.0009,0.0009,0.0005,2048,CarbonEmissions
0.0009,0.0009,0.0004,2049,CarbonEmissions
0.0009,0.0009,0.0004,2050,CarbonEmissions
0.0009,0.0009,0.0004,2051,CarbonEmissions
0.0009,0.0009,0.0004,2052,CarbonEmissions
0.0008,0.0009,0.0004,2053,CarbonEmissions
0.0008,0.0009,0.0004,2054,CarbonEmissions
0.0008,0.0008,0.0004,2055,CarbonEmissions
0.0008,0.0008,0.0004,2056,CarbonEmissions
0.0008,0.0008,0.0004,2057,CarbonEmissions
0.0007,0.0008,0.0003,2058,CarbonEmissions
0.0007,0.0008,0.0003,2059,CarbonEmissions
0.0007,0.0007,0.0003,2060,CarbonEmissions
0.0007,0.0007,0.0003,2061,CarbonEmissions
0.0007,0.0007,0.0003,2062,CarbonEmissions
0.0006,0.0007,0.0003,2063,CarbonEmissions
0.0006,0.0007,0.0003,2064,CarbonEmissions
0.0006,0.0007,0.0003,2065,CarbonEmissions
0.0006,0.0006,0.0002,2066,CarbonEmissions
0.0005,0.0006,0.0002,2067,CarbonEmissions
0.0005,0.0006,0.0002,2068,CarbonEmissions
0.0005,0.0006,0.0002,2069,CarbonEmissions
0.0005,0.0006,0.0002,2070,CarbonEmissions
0.0005,0.0006,0.0002,2071,CarbonEmissions
0.0004,0.0005,0.0002,2072,CarbonEmissions
0.0004,0.0005,0.0002,2073,CarbonEmissions
0.0004,0.0005,0.0002,2074,CarbonEmissions
0.0004,0.0005,0.0002,2075,CarbonEmissions
0.0004,0.0005,0.0002,2076,CarbonEmissions
0.0003,0.0004,0.0002,2077,CarbonEmissions
0.0003,0.0004,0.0002,2078,CarbonEmissions
0.0003,0.0004,0.0002,2079,CarbonEmissions
0.0003,0.0004,0.0002,2080,CarbonEmissions
0.0003,0.0004,0.0002,2081,CarbonEmissions
0.0003,0.0003,0.0002,2082,CarbonEmissions
0.0002,0.0003,0.0002,2083,CarbonEmissions
0.0002,0.0003,0.0001,2084,CarbonEmissions
0.0002,0.0003,0.0001,2085,CarbonEmissions
0.0002,0.0003,0.0001,2086,CarbonEmissions
0.0002,0.0003,0.0001,2087,CarbonEmissions
0.0002,0.0003,0.0001,2088,CarbonEmissions
0.0002,0.0003,0.0001,2089,CarbonEmissions
0.0002,0.0003,0.0001,2090,CarbonEmissions
0.0002,0.0003,0.0001,2091,CarbonEmissions
